firm,year,invest,value,capital
American Steel,1943,15.276,75.18,67.953
American Steel,1944,9.275,62.05,69.59
American Steel,1945,9.577,59.152,69.144
American Steel,1946,3.956,68.424,70.269
American Steel,1947,3.834,48.505,71.051
American Steel,1948,5.97,40.507,71.508
American Steel,1949,6.433,39.961,73.827
American Steel,1950,4.77,36.494,75.847
American Steel,1951,6.532,46.082,77.367
American Steel,1952,7.329,57.616,78.631
American Steel,1953,9.02,57.441,80.215
American Steel,1954,6.281,47.165,83.788
